                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                      96                                     1036                  1.5000000000000000E+001                  2.0000000000000000E-002                  1.0720626751329120E+007                  8.2399461182612399E+001                  3.4524116782163073E+003                  3.3542713286309328E+004                  5.1264033922646513E+002                 -3.1349168163636407E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.7989479835497206E-001                  6.0440952675770753E-004                  1.1468885275260954E-002                  3.9014269762758765E-004                  3.5514602650273328E-003                  1.5000000000000000E+001                  0.0000000000000000E+000                  7.4307172491584286E+000                  2.2241902086052494E-004                  7.2701234894022342E+000                  2.4604055017751016E-002                  8.7914879166233514E-002                  9.2840346541778737E-002                  3.2222739045866589E-002                  3.1586239195792603E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4992854935847301E+001                  5.0971363804522423E+002                  1.4991417679662277E+001                  5.0915896662231137E+002                  3.0005931131309018E+007                  3.0715040313116640E+002                  4.4719101498930752E+006                  4.7799620288185899E+004                  3.9580661097446195E+004                  1.0818497066729087E+003                  2.6941157544683738E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                     logL                                 velocity                                  entropy                         conv_mixing_type                                   csound                             v_div_csound                             total_energy                                  v_div_r                             scale_height                                      eta                                       mu                                    logdq                                 dq_ratio                                        q                                   radius                              temperature                                      tau                                   logtau                                 pressure                          pgas_div_ptotal                                  logPgas                                     prad                                   energy                                    grada                                   free_e                                     abar                                       ye                              log_opacity                                  eps_nuc                              non_nuc_neu                                 eps_grav                        mlt_mixing_length                                log_D_mix                             log_conv_vel                      conv_vel_div_csound                            log_mlt_D_mix                    pressure_scale_height                                    gradT                                    gradr                                  dlnd_dt                                  dlnT_dt                                     mass                                     mmid                                    logxq                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                          gradr_sub_grada                                     logQ 
                                       1                  3.5381226140388380E+000                 -8.5498266510337633E+000                  2.7922626949493825E+000                  2.7098127774513432E+000                  3.3542713286309328E+004                  4.5255981899817961E+000                  1.5997587345751824E+003                  2.1265568293426515E+001                                        0                  5.8381574911339825E+005                  2.7401774224224485E-003                 -5.3985809311225727E+013                  4.4837867876671313E-011                  2.0190056241245480E+000                 -2.0000000016900589E+001                  1.3030288122163247E+000                 -1.2301029995663992E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.1264033922646513E+002                  3.4524119726865833E+003                  6.6666666666666663E-001                 -1.7609125905568127E-001                  6.1981587437224425E+002                  9.9942195787255395E-001                  2.7920115818591587E+000                  3.5827968664695486E-001                  1.8309457289121948E+012                  3.4672219914132552E-001                  9.9999989754785443E-005                  1.2966439685554807E+000                  8.5000496627254196E-001                 -2.7737368987627011E+000                  4.1349285542604921E-028                  0.0000000000000000E+000                 -2.5021176138838435E+000                  2.1077813014173041E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0190056241245480E+000                  1.2507538907083829E-001                  1.2507538907083829E-001                 -2.2147484031035649E-011                 -5.8651122063228586E-012                  1.5000000000000000E+001                  1.4999999999996248E+001                 -9.8999999999999986E+001                  7.0000000000000007E-001                  2.9797635251138316E-005                  2.7997020236474890E-001                  3.4416106108119959E-003                  1.0081585468366041E-003                  9.3604466091399725E-003                  2.0994599496976488E-003                  4.0903242835137500E-003                  4.1349285542604930E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2164681007048723E-001                 -3.6260718791114392E+000 
                                       2                  3.5381226142673809E+000                 -8.5498266494378630E+000                  2.7922626967766364E+000                  2.7098127774473180E+000                  3.3542713286309343E+004                  4.5255981899817961E+000                  1.5997587346018709E+003                  2.1265568291243181E+001                                        0                  5.8381574936236709E+005                  2.7401774221412689E-003                 -5.3985809311572219E+013                  4.4837867877834937E-011                  2.0190056243890049E+000                 -2.0000000016900589E+001                  1.3030288122059399E+000                 -1.1890300121685913E+001                  3.8839186601651055E-001                  9.9999999999949996E-001                  5.1264033922171359E+002                  3.4524119745033818E+003                  6.6666666823693499E-001                 -1.7609125803274292E-001                  6.1981587698006228E+002                  9.9942195787376920E-001                  2.7920115836869406E+000                  3.5827968740111976E-001                  1.8309457291106831E+012                  3.4672219937679166E-001                  9.9999989754786690E-005                  1.2966439685554807E+000                  8.5000496627254196E-001                 -2.7737368957122546E+000                  4.1349285694562731E-028                  0.0000000000000000E+000                 -2.5021177404869865E+000                  2.1077813016933893E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0190056251636763E+000                  1.2507538939022184E-001                  1.2507538939022184E-001                 -2.2147484775527323E-011                 -5.8651123128062091E-012                  1.4999999999992500E+001                  1.4999999999982844E+001                 -1.2301029995663992E+001                  7.0000000000000007E-001                  2.9797635251138357E-005                  2.7997020236474895E-001                  3.4416106108119951E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137500E-003                  4.1349285694562731E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2164680981697349E-001                 -3.6260718779726240E+000 
                                       3                  3.5381226148643097E+000                 -8.5498266452695635E+000                  2.7922627015492050E+000                  2.7098127774369507E+000                  3.3542713286309372E+004                  4.5255981899817970E+000                  1.5997587346706896E+003                  2.1265568285540784E+001                                        0                  5.8381575001264538E+005                  2.7401774205758288E-003                 -5.3985809312401758E+013                  4.4837867880834093E-011                  2.0190056258445566E+000                 -2.0000000016900582E+001                  1.3030288121788163E+000                 -1.1470952930335796E+001                  3.8076130677335523E-001                  9.9999999999821254E-001                  5.1264033920947645E+002                  3.4524119792486504E+003                  6.6666667227993515E-001                 -1.7609125539896395E-001                  6.1981588379137088E+002                  9.9942195787694355E-001                  2.7920115884608885E+000                  3.5827968937091170E-001                  1.8309457296291047E+012                  3.4672219999180487E-001                  9.9999989754790241E-005                  1.2966439685554807E+000                  8.5000496627254196E-001                 -2.7737368877448336E+000                  4.1349286091458275E-028                  0.0000000000000000E+000                 -2.5021180711614868E+000                  2.1077813032129419E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0190056278790882E+000                  1.2507539103470713E-001                  1.2507539103470713E-001                 -2.2147486720059614E-011                 -5.8651125909278604E-012                  1.4999999999973188E+001                  1.4999999999947830E+001                 -1.1747788061021380E+001                  7.0000000000000007E-001                  2.9797635251138357E-005                  2.7997020236474895E-001                  3.4416106108119951E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137500E-003                  4.1349286091458275E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2164680851168170E-001                 -3.6260718749981820E+000 
                                       4                  3.5381226166616906E+000                 -8.5498266327186201E+000                  2.7922627159196294E+000                  2.7098127774097245E+000                  3.3542713286309438E+004                  4.5255981899817979E+000                  1.5997587348510240E+003                  2.1265568268370728E+001                                        0                  5.8381575197066530E+005                  2.7401774164637857E-003                 -5.3985809314383750E+013                  4.4837867888699424E-011                  2.0190056296673018E+000                 -2.0000000016900572E+001                  1.3030288120971460E+000                 -1.0971604860730588E+001                  3.1670281995661714E-001                  9.9999999999483158E-001                  5.1264033917733843E+002                  3.4524119935368781E+003                  6.6666668289813646E-001                 -1.7609124848182470E-001                  6.1981590430053654E+002                  9.9942195788650123E-001                  2.7920116028354665E+000                  3.5827969530204845E-001                  1.8309457311901199E+012                  3.4672220184363950E-001                  9.9999989754799484E-005                  1.2966439685554807E+000                  8.5000496627254196E-001                 -2.7737368637545545E+000                  4.1349287286528985E-028                  0.0000000000000000E+000                 -2.5021190668371385E+000                  2.1077813072037732E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0190056360914141E+000                  1.2507539535364956E-001                  1.2507539535364956E-001                 -2.2147492575133254E-011                 -5.8651134283644374E-012                  1.4999999999922474E+001                  1.4999999999842407E+001                 -1.1286646034169420E+001                  7.0000000000000007E-001                  2.9797635251138357E-005                  2.7997020236474895E-001                  3.4416106108119951E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137500E-003                  4.1349287286528985E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2164680508357190E-001                 -3.6260718660420004E+000 
                                       5                  3.5381226240407195E+000                 -8.5498265811915228E+000                  2.7922627749164843E+000                  2.7098127773237559E+000                  3.3542713286309641E+004                  4.5255981899818005E+000                  1.5997587354205116E+003                  2.1265568197879418E+001                                        0                  5.8381576000918238E+005                  2.7401774034799980E-003                 -5.3985809319238273E+013                  4.4837867913536621E-011                  2.0190056417377504E+000                 -2.0000000016900515E+001                  1.3030288117618534E+000                 -1.0327595862715430E+001                  2.2698178237321548E-001                  9.9999999998415590E-001                  5.1264033907586122E+002                  3.4524120521962673E+003                  6.6666671642547248E-001                 -1.7609122664072024E-001                  6.1981598849960653E+002                  9.9942195792573985E-001                  2.7920116618493722E+000                  3.5827971965194488E-001                  1.8309457375987068E+012                  3.4672220944622134E-001                  9.9999989754838908E-005                  1.2966439685554805E+000                  8.5000496627254207E-001                 -2.7737367652640281E+000                  4.1349292192816278E-028                  0.0000000000000000E+000                 -2.5021231545156319E+000                  2.1077813198049591E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0190056700400403E+000                  1.2507540899086123E-001                  1.2507540899086123E-001                 -2.2147516612750072E-011                 -5.8651168664103717E-012                  1.4999999999762338E+001                  1.4999999999409591E+001                 -1.0800133950451995E+001                  7.0000000000000018E-001                  2.9797635251138360E-005                  2.7997020236474895E-001                  3.4416106108119955E-003                  1.0081585468366041E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  4.0903242835137500E-003                  4.1349292192816278E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2164679425919487E-001                 -3.6260718292729628E+000 
                                       6                  3.5381226562543970E+000                 -8.5498263562464860E+000                  2.7922630324712907E+000                  2.7098127769450113E+000                  3.3542713286310558E+004                  4.5255981899818121E+000                  1.5997587379295701E+003                  2.1265567890145864E+001                                        0                  5.8381579510191304E+005                  2.7401773462782946E-003                 -5.3985809341350695E+013                  4.4837868022962980E-011                  2.0190056949158075E+000                 -2.0000000016900287E+001                  1.3030288102981098E+000                 -9.6884606721596143E+000                  2.2954339963833642E-001                  9.9999999993712274E-001                  5.1264033862879182E+002                  3.4524123082780220E+003                  6.6666686413487586E-001                 -1.7609113041666988E-001                  6.1981635607654084E+002                  9.9942195809703838E-001                  2.7920119194786155E+000                  3.5827982595317209E-001                  1.8309457655759180E+012                  3.4672224263584139E-001                  9.9999989755011581E-005                  1.2966439685554805E+000                  8.5000496627254196E-001                 -2.7737363352967095E+000                  4.1349313611552699E-028                  0.0000000000000000E+000                 -2.5020696806547944E+000                  2.1077813753212555E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0190058182140982E+000                  1.2507546907151804E-001                  1.2507546907151804E-001                 -2.2147297502981194E-011                 -5.8651276749267234E-012                  1.4999999999056842E+001                  1.4999999997520101E+001                 -1.0201506792007029E+001                  7.0000000000000018E-001                  2.9797635251138360E-005                  2.7997020236474890E-001                  3.4416106108119946E-003                  1.0081585468366039E-003                  9.3604466091399760E-003                  2.0994599496976488E-003                  4.0903242835137492E-003                  4.1349313611552699E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2164674657087194E-001                 -3.6260716687552801E+000 
                                       7                  3.5381227233882657E+000                 -8.5498258874581943E+000                  2.7922635692189122E+000                  2.7098127752950205E+000                  3.3542713286314531E+004                  4.5255981899818636E+000                  1.5997587488596805E+003                  2.1265567248825853E+001                                        0                  5.8381586823580635E+005                  2.7401770970793340E-003                 -5.3985809501201438E+013                  4.4837868499660938E-011                  2.0190059265849460E+000                 -2.0000000016899815E+001                  1.3030288072476388E+000                 -9.4946720609854172E+000                  6.4004629629629406E-001                  9.9999999973222398E-001                  5.1264033668114632E+002                  3.4524128419569447E+003                  6.6666750762778626E-001                 -1.7609071121886616E-001                  6.1981712211243246E+002                  9.9942195845402615E-001                  2.7920124563813649E+000                  3.5828004748689263E-001                  1.8309458238809387E+012                  3.4672231180364232E-001                  9.9999989755370397E-005                  1.2966439685554805E+000                  8.5000496627254207E-001                 -2.7737354392379534E+000                  4.1349358248504745E-028                  0.0000000000000000E+000                 -2.5021781886567904E+000                  2.1077816171768860E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0190061192247795E+000                  1.2507573081167034E-001                  1.2507573081167034E-001                 -2.2147840241801068E-011                 -5.8651631545901240E-012                  1.4999999995983359E+001                  1.4999999993582374E+001                 -9.5722284134699951E+000                  7.0000000000000018E-001                  2.9797635251138364E-005                  2.7997020236474895E-001                  3.4416106108119955E-003                  1.0081585468366041E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137500E-003                  4.1349358248504745E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2164653881767415E-001                 -3.6260713342347266E+000 
                                       8                  3.5381228325461378E+000                 -8.5498251252239257E+000                  2.7922644419532361E+000                  2.7098127727171017E+000                  3.3542713286320752E+004                  4.5255981899819444E+000                  1.5997587659366959E+003                  2.1265566206063461E+001                                        0                  5.8381598714962520E+005                  2.7401767077333298E-003                 -5.3985809732648469E+013                  4.4837869244445825E-011                  2.0190062885424869E+000                 -2.0000000016899044E+001                  1.3030288022876440E+000                 -9.2728233113690610E+000                  6.0000000000000042E-001                  9.9999999941209283E-001                  5.1264033363817600E+002                  3.4524137097047592E+003                  6.6666851301481544E-001                 -1.7609005626912777E-001                  6.1981836766410970E+002                  9.9942195903447428E-001                  2.7920133293679199E+000                  3.5828040769508274E-001                  1.8309459186833721E+012                  3.4672242426875310E-001                  9.9999989755953928E-005                  1.2966439685554805E+000                  8.5000496627254207E-001                 -2.7737339822721814E+000                  4.1349430826816473E-028                  0.0000000000000000E+000                 -2.5022386565866439E+000                  2.1077819950497003E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0190066096094363E+000                  1.2507613975197543E-001                  1.2507613975197543E-001                 -2.2148195825446668E-011                 -5.8652140137731328E-012                  1.4999999991181394E+001                  1.4999999987179754E+001                 -9.2306912844896463E+000                  7.0000000000000018E-001                  2.9797635251138364E-005                  2.7997020236474895E-001                  3.4416106108119955E-003                  1.0081585468366041E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137500E-003                  4.1349430826816482E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2164621422608341E-001                 -3.6260707903162022E+000 
                                       9                  3.5381230303953619E+000                 -8.5498237436793172E+000                  2.7922660237797876E+000                  2.7098127684205768E+000                  3.3542713286331113E+004                  4.5255981899820785E+000                  1.5997587943981682E+003                  2.1265564316070677E+001                                        0                  5.8381620268175530E+005                  2.7401760588210509E-003                 -5.3985810106939633E+013                  4.4837870485747102E-011                  2.0190068918070461E+000                 -2.0000000016897648E+001                  1.3030287932975930E+000                 -8.9940697104162304E+000                  5.2631578947368274E-001                  9.9999999887854096E-001                  5.1264032856656684E+002                  3.4524152825028436E+003                  6.6667018866551198E-001                 -1.7608896468474611E-001                  6.1982062522661045E+002                  9.9942196008652628E-001                  2.7920149116516360E+000                  3.5828106057526621E-001                  1.8309460905133643E+012                  3.4672262811272192E-001                  9.9999989757012110E-005                  1.2966439685554805E+000                  8.5000496627254207E-001                 -2.7737313415194267E+000                  4.1349562374854939E-028                  0.0000000000000000E+000                 -2.5023482532248185E+000                  2.1077826248398016E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.0190075018359916E+000                  1.2507682132168438E-001                  1.2507682132168438E-001                 -2.2148840314928621E-011                 -5.8653061967048780E-012                  1.4999999983178116E+001                  1.4999999975574999E+001                 -8.9502165854295921E+000                  7.0000000000000018E-001                  2.9797635251138364E-005                  2.7997020236474895E-001                  3.4416106108119955E-003                  1.0081585468366041E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  4.0903242835137500E-003                  4.1349562374854948E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.2164567323809245E-001                 -3.6260698044700419E+000 
