                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                     131                                      993                  3.0000000000000000E+001                  2.0000000000000000E-002                  5.1617934781417698E+006                  4.8056174692971140E+001                  4.4992735278332430E+003                  1.8118487463949827E+005                  7.0151185333397723E+002                 -4.5158927517795480E+000                  2.7894408886882358E-027                  0.0000000000000000E+000                  9.7880142985719298E-001                  5.2082931757188643E-004                  8.7376274960302199E-003                  3.2497536776527014E-004                  7.5248181780335696E-003                  3.0000000000000000E+001                  0.0000000000000000E+000                  1.1874313796308771E+001                  3.2131672037080634E-004                  1.7523053661583145E+001                  4.4080420021069988E-002                  2.0191065740696326E-001                  1.4159621721230339E-001                  9.2014230342706005E-002                  9.6253141356907523E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.9994266680734196E+001                  6.9861274916810635E+002                  2.9993297398492217E+001                  6.9811872178289047E+002                  3.3964518689382710E+007                  1.6621304085502669E+002                  1.6557673514243779E+006                  3.0613995732554595E+005                  1.6237573252985100E+005                  4.5867812671308820E+003                  1.1055626259199982E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                     logL                                 velocity                                  entropy                         conv_mixing_type                                   csound                             v_div_csound                             total_energy                                  v_div_r                             scale_height                                      eta                                       mu                                    logdq                                 dq_ratio                                        q                                   radius                              temperature                                      tau                                   logtau                                 pressure                          pgas_div_ptotal                                  logPgas                                     prad                                   energy                                    grada                                   free_e                                     abar                                       ye                              log_opacity                                  eps_nuc                              non_nuc_neu                                 eps_grav                        mlt_mixing_length                                log_D_mix                             log_conv_vel                      conv_vel_div_csound                            log_mlt_D_mix                    pressure_scale_height                                    gradT                                    gradr                                  dlnd_dt                                  dlnT_dt                                     mass                                     mmid                                    logxq                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                          gradr_sub_grada                                     logQ 
                                       1                  3.6531424672217980E+000                 -8.9068093029510091E+000                  2.5520840904999487E+000                  2.8460350136310173E+000                  1.8118487463949827E+005                  5.2581219398375918E+000                  1.0791012348316983E+003                  2.2223327040098738E+001                                        5                  6.9055610392610845E+005                  1.5626554145225040E-003                 -7.9638865542379359E+013                  2.2101941046964464E-011                  2.4737513992902826E+000                 -1.9999221667420159E+001                  1.3006718348444390E+000                 -1.2301029995664003E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.0151185333397723E+002                  4.4992742618530074E+003                  6.6666666666666663E-001                 -1.7609125905568127E-001                  3.5652015814871766E+002                  9.9710120497072119E-001                  2.5508233315896036E+000                  1.0334788622791886E+000                  1.9390024695969465E+012                  3.9489771489817926E-001                  1.0017625540273649E-004                  1.2966439686496540E+000                  8.5000496624453570E-001                 -2.5039190007586618E+000                  1.8174511425411636E-028                  0.0000000000000000E+000                  6.7174249513474766E+000                  2.5825222483170764E+011                  1.0661430877149479E+001                 -2.5430275861472329E-001                  8.0630299498347859E-007                 -9.8999999999999986E+001                  2.4737513992902826E+000                  1.2537920089335722E-001                  1.2537920089335722E-001                 -7.9745822059381355E-013                 -1.5695597991384526E-011                  3.0000000000000000E+001                  2.9999999999992497E+001                 -9.8999999999999986E+001                  6.9999999991598116E-001                  2.9797719270237618E-005                  2.7997020236474868E-001                  3.4416106108119768E-003                  1.0081585468366134E-003                  9.3604466091399639E-003                  2.0994599496976466E-003                  4.0903242835137474E-003                  1.8174511425411636E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6951851400482207E-001                 -4.2130942373946070E+000 
                                       2                  3.6531424677037010E+000                 -8.9068092995834647E+000                  2.5520840943435532E+000                  2.8460350136238688E+000                  1.8118487463949827E+005                  5.2581219398375918E+000                  1.0791012348685301E+003                  2.2223327035750472E+001                                        5                  6.9055610429157410E+005                  1.5626554143577279E-003                 -7.9638865543336250E+013                  2.2101941048082638E-011                  2.4737513999252432E+000                 -1.9999221667423647E+001                  1.3006718348437307E+000                 -1.1855166272676808E+001                  3.5820882160690598E-001                  9.9999999999949996E-001                  7.0151185332243062E+002                  4.4992742668455039E+003                  6.6666666978826694E-001                 -1.7609125702214057E-001                  3.5652016130400182E+002                  9.9710120498350985E-001                  2.5508233354387784E+000                  1.0334788668662747E+000                  1.9390024700656414E+012                  3.9489771488149450E-001                  1.0017625539190670E-004                  1.2966439686496540E+000                  8.5000496624453570E-001                 -2.5039189973412763E+000                  1.8174511566345115E-028                  0.0000000000000000E+000                  6.7174248218063211E+000                  2.5825222489799561E+011                  1.0661430877149479E+001                 -2.5430275861472329E-001                  8.0630299455675578E-007                 -9.8999999999999986E+001                  2.4737514019217270E+000                  1.2537920129950147E-001                  1.2537920129950147E-001                 -7.9745882350159781E-013                 -1.5695598077593884E-011                  2.9999999999985000E+001                  2.9999999999964061E+001                 -1.2301029995664003E+001                  6.9999999991598116E-001                  2.9797719270237618E-005                  2.7997020236474868E-001                  3.4416106108119768E-003                  1.0081585468366134E-003                  9.3604466091399639E-003                  2.0994599496976466E-003                  4.0903242835137474E-003                  1.8174511566345113E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6951851359427742E-001                 -4.2130942349908658E+000 
                                       3                  3.6531424697826158E+000                 -8.9068092850559584E+000                  2.5520841109247558E+000                  2.8460350136039114E+000                  1.8118487463949810E+005                  5.2581219398375918E+000                  1.0791012349709733E+003                  2.2223327016991686E+001                                        5                  6.9055610586817714E+005                  1.5626554132882836E-003                 -7.9638865545170703E+013                  2.2101941051196540E-011                  2.4737514036942980E+000                 -1.9999221667438700E+001                  1.3006718348406734E+000                 -1.1168594699794065E+001                  2.0579197119661466E-001                  9.9999999999810407E-001                  7.0151185329019313E+002                  4.4992742883829824E+003                  6.6666667850273786E-001                 -1.7609125134517067E-001                  3.5652017491581012E+002                  9.9710120503868005E-001                  2.5508233520440111E+000                  1.0334788866548255E+000                  1.9390024720876462E+012                  3.9489771480951674E-001                  1.0017625534518625E-004                  1.2966439686496540E+000                  8.5000496624453570E-001                 -2.5039189825987682E+000                  1.8174512174328527E-028                  0.0000000000000000E+000                  6.7174242629650784E+000                  2.5825222529147363E+011                  1.1396116423277459E+001                  4.8038278677505664E-001                  4.3770732760202517E-006                 -9.8999999999999986E+001                  2.4737514133957301E+000                  1.2537920356696619E-001                  1.2537920356696619E-001                 -7.9746142443245679E-013                 -1.5695598449491586E-011                  2.9999999999943121E+001                  2.9999999999841382E+001                 -1.1722199725781275E+001                  6.9999999991598116E-001                  2.9797719270237618E-005                  2.7997020236474868E-001                  3.4416106108119768E-003                  1.0081585468366134E-003                  9.3604466091399639E-003                  2.0994599496976466E-003                  4.0903242835137474E-003                  1.8174512174328525E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6951851130224391E-001                 -4.2130942246211909E+000 
                                       4                  3.6531424764919991E+000                 -8.9068092381706592E+000                  2.5520841644380599E+000                  2.8460350135069277E+000                  1.8118487463949734E+005                  5.2581219398375900E+000                  1.0791012354689194E+003                  2.2223326956451064E+001                                        5                  6.9055611095642985E+005                  1.5626554080917785E-003                 -7.9638865557640922E+013                  2.2101941066331024E-011                  2.4737514220091148E+000                 -1.9999221667487273E+001                  1.3006718348308064E+000                 -1.0707470086204403E+001                  3.4584013050570983E-001                  9.9999999999132128E-001                  7.0151185313353642E+002                  4.4992743578919371E+003                  6.6666672084875922E-001                 -1.7609122375920694E-001                  3.5652021884584923E+002                  9.9710120521673340E-001                  2.5508234056348669E+000                  1.0334789505193815E+000                  1.9390024786132900E+012                  3.9489771457721923E-001                  1.0017625519440259E-004                  1.2966439686496540E+000                  8.5000496624453570E-001                 -2.5039189350195743E+000                  1.8174514136502033E-028                  0.0000000000000000E+000                  6.7174224593912450E+000                  2.5825222720348553E+011                  1.1787216956520338E+001                  8.7148331643083232E-001                  1.0771702334434252E-005                 -9.8999999999999986E+001                  2.4737514500609361E+000                  1.2537921458520446E-001                  1.2537921458520446E-001                 -7.9746981853788303E-013                 -1.5695599649735760E-011                  2.9999999999739639E+001                  2.9999999999445453E+001                 -1.1061551534413402E+001                  6.9999999991598116E-001                  2.9797719270237618E-005                  2.7997020236474868E-001                  3.4416106108119768E-003                  1.0081585468366134E-003                  9.3604466091399639E-003                  2.0994599496976466E-003                  4.0903242835137474E-003                  1.8174514136502031E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6951850016461881E-001                 -4.2130941911546564E+000 
                                       5                  3.6531424895915614E+000                 -8.9068091466306836E+000                  2.5520842689187062E+000                  2.8460350132265027E+000                  1.8118487463949528E+005                  5.2581219398375847E+000                  1.0791012369093121E+003                  2.2223326838249722E+001                                        5                  6.9055612089085206E+005                  1.5626553930668623E-003                 -7.9638865599147031E+013                  2.2101941110104136E-011                  2.4737514749666509E+000                 -1.9999221667582113E+001                  1.3006718348115425E+000                 -1.0495908824266756E+001                  6.1438236031069859E-001                  9.9999999997170896E-001                  7.0151185268056872E+002                  4.4992744936029085E+003                  6.6666684329269299E-001                 -1.7609114399413359E-001                  3.5652030461591767E+002                  9.9710120556436899E-001                  2.5508235102669286E+000                  1.0334790752101004E+000                  1.9390024913541304E+012                  3.9489771412367453E-001                  1.0017625490000912E-004                  1.2966439686496540E+000                  8.5000496624453570E-001                 -2.5039188421248095E+000                  1.8174517967496997E-028                  0.0000000000000000E+000                  6.7177676853401946E+000                  2.5825223273209344E+011                  1.1906944325251771E+001                  9.9121066567573735E-001                  1.4190957081595976E-005                 -9.8999999999999986E+001                  2.4737515206251990E+000                  1.2537924644454457E-001                  1.2537924644454457E-001                 -7.9633300806471847E-013                 -1.5695634403550833E-011                  2.9999999999151271E+001                  2.9999999998672440E+001                 -1.0548352645676546E+001                  6.9999999991598116E-001                  2.9797719270237618E-005                  2.7997020236474868E-001                  3.4416106108119768E-003                  1.0081585468366134E-003                  9.3604466091399639E-003                  2.0994599496976466E-003                  4.0903242835137474E-003                  1.8174517967496997E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6951846796007006E-001                 -4.2130941258138073E+000 
                                       6                  3.6531425058201377E+000                 -8.9068090332251533E+000                  2.5520843983559711E+000                  2.8460350127700691E+000                  1.8118487463949196E+005                  5.2581219398375767E+000                  1.0791012392534412E+003                  2.2223326691814588E+001                                        5                  6.9055613319825206E+005                  1.5626553686110757E-003                 -7.9638865669538562E+013                  2.2101941181344786E-011                  2.4737515611630236E+000                 -1.9999221667699608E+001                  1.3006718347876767E+000                 -1.0495908824266756E+001                  1.0000000000000000E+000                  9.9999999993978683E-001                  7.0151185194329526E+002                  4.4992746617303474E+003                  6.6666704258871468E-001                 -1.7609101416444367E-001                  3.5652041087335778E+002                  9.9710120599504160E-001                  2.5508236398917759E+000                  1.0334792296849609E+000                  1.9390025071383042E+012                  3.9489771356179210E-001                  1.0017625453529528E-004                  1.2966439686496540E+000                  8.5000496624453570E-001                 -2.5039187270408472E+000                  1.8174522713577750E-028                  0.0000000000000000E+000                  6.7172723731837758E+000                  2.5825224173073621E+011                  1.1743658724575024E+001                  8.2792504037012615E-001                  9.7437482279322675E-006                 -9.8999999999999986E+001                  2.4737516068215855E+000                  1.2537929830043229E-001                  1.2537929830043229E-001                 -7.9802176389738106E-013                 -1.5695621255030785E-011                  2.9999999998193605E+001                  2.9999999997714777E+001                 -1.0220309604184930E+001                  6.9999999991598116E-001                  2.9797719270237618E-005                  2.7997020236474868E-001                  3.4416106108119768E-003                  1.0081585468366134E-003                  9.3604466091399639E-003                  2.0994599496976466E-003                  4.0903242835137474E-003                  1.8174522713577750E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6951841554230105E-001                 -4.2130940448654286E+000 
                                       7                  3.6531425301630049E+000                 -8.9068088631169289E+000                  2.5520845925117968E+000                  2.8460350123136320E+000                  1.8118487463948867E+005                  5.2581219398375687E+000                  1.0791012415974596E+003                  2.2223326472161808E+001                                        5                  6.9055615165934968E+005                  1.5626553441551274E-003                 -7.9638865728995281E+013                  2.2101941252583325E-011                  2.4737516473593817E+000                 -1.9999221667875872E+001                  1.3006718347518784E+000                 -1.0194878828602775E+001                  5.0000000000000000E-001                  9.9999999990786470E-001                  7.0151185120601667E+002                  4.4992749139215575E+003                  6.6666724188478954E-001                 -1.7609088433475792E-001                  3.5652057025951888E+002                  9.9710120664105006E-001                  2.5508238343289751E+000                  1.0334794613973315E+000                  1.9390025308145688E+012                  3.9489771271896346E-001                  1.0017625398822203E-004                  1.2966439686496540E+000                  8.5000496624453570E-001                 -2.5039185544149296E+000                  1.8174529832698227E-028                  0.0000000000000000E+000                  6.7171451226235552E+000                  2.5825225072937738E+011                  1.0995180118860285E+001                  7.9446433371140546E-002                  1.7387912055019260E-006                 -9.8999999999999986E+001                  2.4737517386765080E+000                  1.2537935015632540E-001                  1.2537935015632540E-001                 -7.9841149671814172E-013                 -1.5695588296893582E-011                  2.9999999997235943E+001                  2.9999999996278277E+001                 -1.0035574899713133E+001                  6.9999999991598116E-001                  2.9797719270237618E-005                  2.7997020236474868E-001                  3.4416106108119768E-003                  1.0081585468366134E-003                  9.3604466091399639E-003                  2.0994599496976466E-003                  4.0903242835137474E-003                  1.8174529832698225E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6951836312452382E-001                 -4.2130939234429405E+000 
                                       8                  3.6531425850701811E+000                 -8.9068084794253881E+000                  2.5520850304445282E+000                  2.8460350114007626E+000                  1.8118487463948198E+005                  5.2581219398375527E+000                  1.0791012462850501E+003                  2.2223325976719401E+001                                        0                  6.9055619329974893E+005                  1.5626552952425861E-003                 -7.9638865849748875E+013                  2.2101941395051023E-011                  2.4737518197522301E+000                 -1.9999221668273492E+001                  1.3006718346711343E+000                 -9.8176887147761622E+000                  4.1957527333893946E-001                  9.9999999984402055E-001                  7.0151184973146724E+002                  4.4992754827579229E+003                  6.6666764047709903E-001                 -1.7609062467539877E-001                  3.5652092976697833E+002                  9.9710120809816760E-001                  2.5508242728963646E+000                  1.0334799840422670E+000                  1.9390025842181792E+012                  3.9489771081787833E-001                  1.0017625275424960E-004                  1.2966439686496540E+000                  8.5000496624453570E-001                 -2.5039181650443059E+000                  1.8174545890405333E-028                  0.0000000000000000E+000                  6.7173932722281311E+000                  2.5825226872667358E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.4737520373941266E+000                  1.2537945386813046E-001                  1.2537945386813046E-001                 -7.9760566023204009E-013                 -1.5695619073379850E-011                  2.9999999995320618E+001                  2.9999999993038159E+001                 -9.8069331534504087E+000                  6.9999999991598105E-001                  2.9797719270370033E-005                  2.7997020236474873E-001                  3.4416106108119773E-003                  1.0081585468366134E-003                  9.3604466091399673E-003                  2.0994599496976470E-003                  4.0903242835137474E-003                  1.8174545890405333E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6951825828894083E-001                 -4.2130936495657494E+000 
                                       9                  3.6531426955758652E+000                 -8.9068077072131011E+000                  2.5520859118221457E+000                  2.8460350092250652E+000                  1.8118487463946611E+005                  5.2581219398375145E+000                  1.0791012574577580E+003                  2.2223324979599308E+001                                        0                  6.9055627710480359E+005                  1.5626551786669521E-003                 -7.9638866160374188E+013                  2.2101941734612959E-011                  2.4737522306272659E+000                 -1.9999221669073961E+001                  1.3006718345086334E+000                 -9.5488715003376932E+000                  5.3849637681159590E-001                  9.9999999969185682E-001                  7.0151184621708387E+002                  4.4992766275930517E+003                  6.6666859046794702E-001                 -1.7609000581306897E-001                  3.5652165330803081E+002                  9.9710121103073468E-001                  2.5508251555512822E+000                  1.0334810359135267E+000                  1.9390026916978672E+012                  3.9489770699168142E-001                  1.0017625027073607E-004                  1.2966439686496540E+000                  8.5000496624453570E-001                 -2.5039173814013402E+000                  1.8174578207967521E-028                  0.0000000000000000E+000                  6.7173635671836038E+000                  2.5825231162079468E+011                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  2.4737526347933745E+000                  1.2537970105105914E-001                  1.2537970105105914E-001                 -7.9774391258563988E-013                 -1.5695638841892527E-011                  2.9999999990755704E+001                  2.9999999986517135E+001                 -9.5112476433154587E+000                  6.9999999991598105E-001                  2.9797719270370033E-005                  2.7997020236474873E-001                  3.4416106108119773E-003                  1.0081585468366134E-003                  9.3604466091399673E-003                  2.0994599496976470E-003                  4.0903242835137474E-003                  1.8174578207967519E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.6951800842759399E-001                 -4.2130930983648298E+000 
